Selection Method, Number of Destinations, Number of Parcels, Distance, Energy
1, 10, 200, 3708.1, 22849.7
0, 10, 200, 6842.44, 39418.6
2, 10, 200, 4041.36, 19083.2
1, 20, 200, 9142.02, 62147.1
2, 20, 200, 4334.27, 32583.6
0, 20, 200, 6826.28, 41362
0, 30, 200, 8185.27, 49530.6
2, 30, 200, 5128.78, 22575.8
1, 30, 200, 11293.7, 57057.3
0, 40, 200, 8144.41, 24202.7
2, 40, 200, 5076.07, 24022.7
1, 40, 200, 12910.8, 78503.7
0, 50, 200, 8350.59, 25310.7
2, 50, 200, 6096.74, 38059.9
1, 50, 200, 16370.4, 88696.2
0, 60, 200, 8823.71, 26300.3
1, 60, 200, 17122.4, 96944.5
2, 60, 200, 5757.54, 28149.2
1, 70, 200, 22122.9, 126396
0, 70, 200, 9423.06, 48185.1
2, 70, 200, 7373.26, 30308.1
1, 80, 200, 20033.8, 103445
2, 80, 200, 6845.08, 30595.9
0, 80, 200, 8614.83, 29335.3
2, 90, 200, 7414.87, 30737.2
1, 90, 200, 24698.7, 115022
0, 90, 200, 9701.14, 28862.2
0, 100, 200, 8770.04, 45306.1
1, 100, 200, 24950.9, 126504
2, 100, 200, 7392.9, 34875.1
